period,title,description,url,published_at,source_name,author,url_to_image
2_weeks,Why AI researchers are getting paid like NBA All-Stars,"Hello, and welcome to Decoder! This is Alex Heath, your Thursday episode guest host and deputy editor at The Verge. Today, I’m joined by Hayden Field, The Verge’s senior AI reporter. We’re talking about the AI talent wars and why some researchers are suddenly…",https://www.theverge.com/decoder-podcast-with-nilay-patel/716633/ai-talent-war-meta-mark-zuckerberg-openai-nba-all-stars,2025-07-31T14:03:44Z,The Verge,Alex Heath,https://platform.theverge.com/wp-content/uploads/sites/2/2025/07/DCD_0731_AI_recruit_war.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200
2_weeks,The dangerously blurry line between wellness and medical tech,"Few things scratch my brain like a good beef. Kendrick vs. Drake. Justin Baldoni vs. Blake Lively. On my beat, it's usually two companies fighting over health tech patents. So-and-so copied a feature from so-and-so. The latest dispute on my radar is all about…",https://www.theverge.com/health/715102/dangerously-blurry-line-between-wellness-and-medical-tech,2025-07-29T14:54:07Z,The Verge,Victoria Song,https://platform.theverge.com/wp-content/uploads/sites/2/2025/06/257818_Whoop_5_AKrales_0109.jpg?quality=90&strip=all&crop=0%2C10.732984293194%2C100%2C78.534031413613&w=1200
2_weeks,Amazon Is Laying Off Wondery Staff as It Rethinks Its Podcast Business,Amazon is moving some of its Wondery shows to Audible as video podcasts are taking over,https://gizmodo.com/amazon-is-laying-off-wondery-staff-as-it-rethinks-its-podcast-business-2000638666,2025-08-04T19:15:40Z,Gizmodo.com,Bruce Gil,https://gizmodo.com/app/uploads/2023/02/3a652b4c26e28681e80f9e83497b8bcf.jpg
2_weeks,Some Sonos Speakers Are Getting So Hot That the USB-C Port Melts,Sonos may be in hot water for even hotter speakers.,https://gizmodo.com/some-sonos-speakers-are-getting-so-hot-that-the-usb-c-port-melts-2000639132,2025-08-05T19:24:23Z,Gizmodo.com,James Pero,https://gizmodo.com/app/uploads/2025/08/sonosspeakerburn-1200x675.jpg
2_weeks,Apple CEO Tim Cook Calls AI ‘Bigger Than the Internet’ in Rare All-Hands Meeting,Can Apple catch up to peers in the AI race? Tim Cook seems to think so.,https://gizmodo.com/apple-ceo-tim-cook-calls-ai-bigger-than-the-internet-in-rare-all-hands-meeting-2000638858,2025-08-04T23:04:02Z,Gizmodo.com,Ece Yildirim,https://gizmodo.com/app/uploads/2023/05/9f6d1466d337843b26c2eb098265c9c2.jpg
2_weeks,"After a Deluge of Mental Health Concerns, ChatGPT Will Now Nudge Users to Take ‘Breaks’",Having a break from reality? OpenAI thinks you should take a break.,https://gizmodo.com/after-a-deluge-of-mental-health-concerns-chatgpt-will-now-nudge-users-to-take-breaks-2000638820,2025-08-05T13:05:00Z,Gizmodo.com,Lucas Ropek,https://gizmodo.com/app/uploads/2024/08/chatgpt-iran-linked-election-influence-openai.jpg
2_weeks,Apple Continues Losing AI Experts to Meta,"A fourth Apple artificial intelligence expert has left the company to join Meta, reports Bloomberg. Bowen Zhang, who was on Apple's foundation models team, is the latest employee to abandon Apple for Meta.





The leader of Apple's foundation models group, R…",https://www.macrumors.com/2025/07/29/apple-continues-losing-ai-experts-to-meta/,2025-07-30T01:47:00Z,MacRumors,Juli Clover,https://images.macrumors.com/t/A1B4aW248cXlls58AjTKuZPDmaI=/1600x/article-new/2025/02/meta-ai.jpg
2_weeks,Tim Cook Defends Apple's AI Delay: 'We've Rarely Been First',"Apple CEO Tim Cook spoke to employees at an all-hands meeting today, providing some insight into Apple's work on AI. According to Bloomberg, Cook said that AI is going to be bigger than smartphones and the internet, and that it's a priority for the company.

…",https://www.macrumors.com/2025/08/01/tim-cook-apple-all-hands-meeting-ai/,2025-08-01T22:07:59Z,MacRumors,Juli Clover,https://images.macrumors.com/t/9QYrKGN7DCjAIIQvkbgkjuswS_0=/2500x/article-new/2024/09/Apple-Intelligence-General-Feature-2.jpg
2_weeks,Standard Chartered CEO says this is the reason he won't make staff return to the office,"The bank's CEO, Bill Winters, says he practices hybrid working and tries to be in the office four days a week.",https://www.businessinsider.com/standard-chartered-ceo-will-not-make-staff-return-to-office-2025-8,2025-08-01T04:30:42Z,Business Insider,Kwan Wei Kevin Tan,https://i.insider.com/688c24c83d5881a51c1e6a11?width=1200&format=jpeg
2_weeks,Microsoft stock surges after it posts another earnings beat,Microsoft CEO Satya Nadella said that cloud and AI continue to drive the tech giant's growth.,https://www.businessinsider.com/microsoft-earnings-report-fourth-quarter-reaction-2025-7,2025-07-30T20:24:39Z,Business Insider,Brent D. Griffiths,https://i.insider.com/688a6aae3d5881a51c1e4b51?width=1200&format=jpeg
2_weeks,"Apple salaries revealed: How much the iPhone giant pays AI staff, software engineers, and designers","See how much Apple pays in 2025, with machine learning engineers earning as much as $312,200. Salary data shows pay ranges across key teams.",https://www.businessinsider.com/apple-salaries-revealed-how-much-ai-staffers-engineers-get-paid-2025-7,2025-07-31T09:00:02Z,Business Insider,"Geoff Weiss,Ashley Rodriguez",https://i.insider.com/688930d0f748d8c055f67dd6?width=1200&format=jpeg
2_weeks,"Meta Q2 earnings updates: Wall Street is bullish, eyeing AI opportunities with stock up 20% this year","Meta will report second-quarter results after the closing bell on Wednesday, with investors eyeing AI capex. The earnings call will start at 5 p.m. ET.",https://www.businessinsider.com/meta-earnings-call-report-stock-live-updates-2025-7,2025-07-30T14:02:45Z,Business Insider,Jennifer Sor,https://i.insider.com/688a15b085e81483682eec1d?width=1200&format=jpeg
2_weeks,"More Europeans are flying to Canada than ever before, aviation data shows","Flights between Europe and Canada are scheduled to reach a record high this month, while both sides have been turning away from traveling to the US.",https://www.businessinsider.com/more-europeans-flying-to-canada-instead-of-us-data-shows-2025-8,2025-08-04T14:31:04Z,Business Insider,Pete Syme,https://i.insider.com/6890a0743d5881a51c1e885a?width=1200&format=jpeg
2_weeks,Vinod Khosla says young people should plan their careers for flexibility instead of one profession,Vinod Khosla's advice for young people: Don't plan your career around any one job.,https://www.businessinsider.com/vinod-khosla-young-people-should-plan-careers-for-flexibility-ai-2025-8,2025-08-04T07:04:52Z,Business Insider,Shubhangi Goel,https://i.insider.com/6890323585e81483682f340e?width=1200&format=jpeg
2_weeks,Starbucks isn't giving up on its China dream,"The chain is looking for a local partner to help run its stores in China as it looks to open ""thousands"" more outlets there in the future.",https://www.businessinsider.com/starbucks-china-dream-store-partner-earnings-brian-niccol-2025-7,2025-07-30T04:22:37Z,Business Insider,Aditi Bharade,https://i.insider.com/68898251f748d8c055f681a8?width=1024&format=jpeg
2_weeks,"The hottest jobs today didn't exist a few years ago — and degrees won't get you there, one of LinkedIn's top economists told BI","From data scientist to content creator, many job titles didn't exist 20 years ago, said LinkedIn's head economist for Asia-Pacific.",https://www.businessinsider.com/jobs-changing-degree-linkedin-exec-head-economist-asia-pacific-2025-8,2025-08-05T00:00:01Z,Business Insider,Lee Chong Ming,https://i.insider.com/688326063d5881a51c1df9f6?width=1200&format=jpeg
2_weeks,"'A new normal': Midtown shooting sparks anxiety, but nearby office life goes on","The Park Avenue office building where Monday's shooting occurred remains closed, as Midtown workers expressed anxieties about recent violence.",https://www.businessinsider.com/nyc-office-shooting-workers-crisis-experts-rto-2025-7,2025-07-29T20:40:35Z,Business Insider,"Sarah E. Needleman,Jacob Shamsian",https://i.insider.com/688927b485e81483682ee2a0?width=1200&format=jpeg
2_weeks,Saylor’s New $4.2 Billion Bitcoin Plan Aims to Reassure Skeptics,(Bloomberg) -- Michael Saylor isn’t backing down. The Strategy co-founder is preparing to sell $4.2 billion more in preferred stock to fuel his latest...,https://finance.yahoo.com/news/saylor-4-2-billion-bitcoin-223832407.html,2025-07-31T22:38:32Z,Yahoo Entertainment,David Pan,https://s.yimg.com/ny/api/res/1.2/4B7qXUZCJn5jA4AJKb2yDQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDM-/https://media.zenfs.com/en/bloomberg_holding_pen_162/ad2a1b46aa439a2f9288ed5da96e054d
2_weeks,TSMC Stock Price Dislocation Reaches Widest Level in 16 Years,(Bloomberg) -- The price gap between Taiwan Semiconductor Manufacturing Co.’s American depositary receipts and its Taipei-listed shares surged to the widest ...,https://finance.yahoo.com/news/tsmc-stock-price-dislocation-reaches-002516038.html,2025-08-01T00:25:16Z,Yahoo Entertainment,Charlotte Yang,https://media.zenfs.com/en/bloomberg_holding_pen_162/ec8929d640755f6cfb5982bee5c1c244
2_weeks,Trump Ends Tariff Break for Low-Value Goods in Blow to Online Retailers,"(Bloomberg) -- US President Donald Trump on Wednesday signed an executive order suspending the de minimis exemption, applying tariffs to low-value imports...",https://finance.yahoo.com/news/trump-ends-tariff-break-low-184319720.html,2025-07-30T18:43:19Z,Yahoo Entertainment,Jennifer A. Dlouhy and Josh Wingrove,https://s.yimg.com/ny/api/res/1.2/3_98L9tRbW4wgJ4CvRpJSQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://media.zenfs.com/en/bloomberg_holding_pen_162/a60b6fd8fb0542e0133107555d52e247
